순번,회사명,공장대표주소(도로명),업종명,생산품,데이터기준일
1,(주)거산피엔에프,"인천광역시 중구 서해대로210번길 35(신흥동3가, (주)거산피엔에프)",육상 금속 골조 구조재 제조업 외 1 종,"발전배관, SPOOL제작",2025-05-27
2,(주)경인기계,"인천광역시 중구 서해대로 307 (항동7가, 경인기계㈜)",공기 조화장치 제조업 외 2 종,냉각탑,2025-05-27
3,(주)경화,인천광역시 중구 제물량로232번안길 23 (중앙동1가),간판 및 광고물 제조업 외 2 종,"광고물, 간판 등",2025-05-27
4,(주)광성기계,인천광역시 중구 연안부두로115번길 21-4 (항동7가),선박 구성 부분품 제조업,선박부분품,2025-05-27
5,(주)농가에프엔씨,인천광역시 중구 축항대로296번길 60-12 (신흥동3가),식물성 유지 제조업 외 2 종,"참기름, 고춧가루, 참깨",2025-05-27
6,(주)대서양푸드,"인천광역시 중구 연안부두로75번길 4, 2층1호 (항동7가)",기타 수산동물 가공 및 저장 처리업,수산물,2025-05-27
7,(주)대성이엔지,인천광역시 중구 연안부두로91번길 7 (항동7가),선박 구성 부분품 제조업,선박부분품,2025-05-27
8,(주)대영테크,인천광역시 중구 항동7가 104-22번지,기어 및 동력전달장치 제조업,감속기 및 기어류,2025-05-27
9,(주)동림수산,인천광역시 중구 항동7가 108-3번지,기타 수산동물 가공 및 저장 처리업 외 2 종,냉동품,2025-05-27
10,(주)동보스틸,인천광역시 중구 서해대로180번길 51 (신흥동3가),육상 금속 골조 구조재 제조업 외 1 종,플랜트배관,2025-05-27
11,(주)디앤알라이팅,인천광역시 중구 서해대로180번길 43 (신흥동3가),일반용 전기 조명장치 제조업 외 1 종,"LED조명, 가로등, 보안등, 실내조명",2025-05-27
12,(주)라이팅스케치,"인천광역시 중구 축항대로296번길 60-35, 2층 (신흥동3가)",일반용 전기 조명장치 제조업,"LED조명, 가로등, 보안등, 실내조명",2025-05-27
13,(주)매쉬플러스,인천광역시 중구 항동7가 58-164번지 외 2필지,"목재 보존, 방부처리, 도장 및 유사 처리업","하이그로시 UV, LPM접착가공",2025-05-27
14,(주)명진포리텍,인천광역시 중구 신흥동3가 43-43번지,"플라스틱 포대, 봉투 및 유사제품 제조업",비닐제품,2025-05-27
15,(주)바다사나이,인천광역시 중구 축항대로296번길 56-49 (신흥동3가),기타 수산동물 가공 및 저장 처리업,"연어필렛, 활어필렛",2025-05-27
16,(주)비앤티,"인천광역시 중구 축항대로296번길 56-24, 2층 (신흥동3가)","물질 검사, 측정 및 분석기구 제조업 외 4 종",자동발열방역시스템기 등,2025-05-27
17,(주)삼양사 인천2공장,"인천광역시 중구 축항대로290번길 121 (신흥동3가, (주)삼양웰푸드)",식물성 유지 제조업 외 4 종,식용유,2025-05-27
18,"(주)선앤엘(SUN&L Co., Ltd.)","인천광역시 중구 월미로 96, 외4필지 (북성동1가)",일반 제재업 외 2 종,"가구,목재,각재",2025-05-27
19,"(주)선앤엘(SUN&L Co., Ltd.) M.D.F공장","인천광역시 중구 월미로 78 (북성동1가, MDF제2공장) 외 2필지",강화 및 재생 목재 제조업,강화재생목재,2025-05-27
20,(주)썸밑엔지니어링,인천광역시 중구 연안부두로115번길 25-8 (항동7가),선박 구성 부분품 제조업,선박구성부분품 등,2025-05-27
21,(주)씨앤엘,인천광역시 중구 축항대로296번길 56-22(신흥동3가),산업용 냉장 및 냉동 장비 제조업 외 1 종,"열전냉각기, 반도체 시험장비",2025-05-27
22,(주)에스와이컴퍼니,"인천광역시 중구 연안부두로75번길 4, 2층2호 (항동7가)",기타 수산동물 가공 및 저장 처리업,"냉동삼치, 냉동임연수",2025-05-27
23,(주)에스지개발,인천광역시 중구 축항대로290번길 41 (신흥동3가),위생용 종이제품 제조업,N커버(일회용좌변기시트커버),2025-05-27
24,(주)오대양씨푸드,인천광역시 중구 연안부두로107번길 15-12 (항동7가),수산동물 냉동품 제조업,"알탕, 해물탕 외",2025-05-27
25,(주)오성기계,인천광역시 중구 축항대로22번길 2 (북성동1가),선박 구성 부분품 제조업,선박부품,2025-05-27
26,(주)와이티지정공,인천광역시 중구 축항대로296번길 60-34 (신흥동3가),기어 및 동력전달장치 제조업,산업용 감속기 부품,2025-05-27
27,(주)원양물산,인천광역시 중구 축항대로 18 (북성동1가),수산동물 냉동품 제조업 외 1 종,"냉동품,얼음",2025-05-27
28,(주)유니이노베이션,인천광역시 중구 백운로457번길 25-2 (운북동),기타 가정용 전기기기 제조업,건강버블목욕기,2025-05-27
29,(주)인천다온,인천광역시 중구 축항대로296번길 56-27 (신흥동3가),그 외 기타 1차 철강 제조업,화스너,2025-05-27
30,(주)인천일보,"인천광역시 중구 인중로 226 (항동4가, 인천일보사)",경 인쇄업 외 2 종,인쇄물,2025-05-27
31,(주)지앤엘에스티,인천광역시 중구 월미로 198(북성동1가),석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,포르마린,2025-05-27
32,(주)천수식품,인천광역시 중구 축항대로296번길 56-28 (신흥동3가) 외 1필지,두부 및 유사식품 제조업,동부앙금 및 곡물,2025-05-27
33,(주)청우이엔지,인천광역시 중구 축항대로290번길 50 (신흥동3가),배전반 및 전기 자동제어반 제조업 외 2 종,"배전반 및 전기자동제어반, 나노수발생기, 식물재배기, 식물재배기의 금속 외함",2025-05-27
34,(주)케네시로렌스코리아,인천광역시 중구 축항대로291번길 34-2 (신흥동3가),커튼 및 유사제품 제조업,블라인드,2025-05-27
35,(주)케이제이인더스트리,인천광역시 중구 축항대로211번길 13 (항동7가),목재 깔판류 및 기타 적재판 제조업 외 4 종,"목재파렛트, 목상자, 철재파렛트, 도장",2025-05-27
36,(주)케이티엔씨,"인천광역시 중구 서해대로180번길 27(신흥동3가, (주)폴젠코리아)",절삭가공 및 유사처리업,절삭공구 홀더 및 기계 부품,2025-05-27
37,(주)크리스탈옵틱,"인천광역시 중구 서해대로180번길 27, 3층 (신흥동3가)",기타 광학기기 제조업 외 1 종,"의료용확대경, 의료용라이트",2025-05-27
38,(주)현대로지스앤팩,"인천광역시 중구 서해대로210번길 39(신흥동3가, (주)현대로지스앤팩)","목재 포장용 상자, 드럼 및 유사용기 제조업","목상자, 파렛트",2025-05-27
39,(주)휠라선,인천광역시 중구 북성동1가 97-25번지,기타 곡물 가공품 제조업,곡물가공,2025-05-27
40,게이트고메코리아 유한회사,인천광역시 중구 공항동로465번길 96 (운서동),도시락 및 식사용 조리식품 제조업,기내식 도시락,2025-05-27
41,경원물산(주),인천광역시 중구 연안부두로99번길 15 (항동7가),수산동물 냉동품 제조업,냉동품,2025-05-27
42,공항시설관리(주),인천광역시 중구 용유서로2번길 50 (남북동),공기 조화장치 제조업 외 2 종,"히트펌프, 공조기",2025-05-27
43,광진푸드,인천광역시 중구 서해대로93번길 14-16(항동7가),기타 수산동물 가공 및 저장 처리업,"쭈꾸미, 낙지볶음",2025-05-27
44,광창문화사,인천광역시 중구 신흥동3가 7번지,기타 인쇄업 외 1 종,인쇄물,2025-05-27
45,구구수산유통,"인천광역시 중구 연안부두로75번길 4, 1층 (항동7가)",기타 수산동물 가공 및 저장 처리업,"고등어포, 삼치포, 낙지채 등",2025-05-27
46,금강중기공업사,인천광역시 중구 서해대로94번길 11 (신흥동3가),건설 및 채광용 기계장비 제조업,토목기계장비,2025-05-27
47,농업회사법인주식회사 웰빙라이스,인천광역시 중구 중산동 1097-318번지,기타 곡물 가공품 제조업,쌀과자,2025-05-27
48,농협경제지주(주) 한육우판매사업소,인천광역시 중구 축항대로22번길 6 (북성동1가),육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,"고기가공, 얼음, 고기가공",2025-05-27
49,대덕기계,인천광역시 중구 신흥동3가 42-31번지,건설 및 채광용 기계장비 제조업 외 3 종,건설기계부품,2025-05-27
50,대신기계,인천광역시 중구 연안부두로99번길 11 (항동7가),선박 구성 부분품 제조업,선박구성 부분품,2025-05-27
51,대연식품,인천광역시 중구 축항대로290번길 37 (신흥동3가),두부 및 유사식품 제조업,"앙금류, 도토리묵 중간재",2025-05-27
52,대원이엔티(주),인천광역시 중구 축항대로296번길 56-47 (신흥동3가),산업용 트럭 및 적재기 제조업,산업용 트럭 리프트 및 적재기 제조,2025-05-27
53,대한사료(주),"인천광역시 중구 북성포길 13 (북성동1가, 대한사료공업(주))",배합 사료 제조업 외 1 종,사료,2025-05-27
54,대한제당(주),"인천광역시 중구 월미로 116 (북성동1가, 대한제당㈜)",전분제품 및 당류 제조업 외 3 종,"설탕, 당밀",2025-05-27
55,대한제분(주),"인천광역시 중구 월미로 50 (북성동1가, 대한제분(기타부속건물))",곡물 제분업 외 2 종,밀가루,2025-05-27
56,대한항공씨앤디서비스 주식회사,인천광역시 중구 운서동 2840-13번지 (대한항공 기내식시설A),도시락류 제조업 외 1 종,기내식,2025-05-27
57,동화기업(주),인천광역시 중구 월미로 164 (북성동1가),강화 및 재생 목재 제조업 외 3 종,PB,2025-05-27
58,디와이텍,인천광역시 중구 신흥동3가 42-64번지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차용 브라켓트,2025-05-27
59,디티지코리아,"인천광역시 중구 축항대로296번길 56-45, 2층 (신흥동3가)",속도계 및 적산계기 제조업 외 2 종,"차량운행기록계, 소형기기충전, 기타자동차부품",2025-05-27
60,라이온코리아(주),인천광역시 중구 서해대로140번길 23 (신흥동3가),계면활성제 제조업 외 2 종,"치약, 비누, 화장품, 세제류, 활성제",2025-05-27
61,미산네트워크,인천광역시 중구 신흥동3가 43-41번지,그 외 기타 플라스틱 제품 제조업,사무용가구부품,2025-05-27
62,미소식품 (주),인천광역시 중구 서해대로93번길 14-6(항동7가),수산동물 냉동품 제조업,수산동물냉동품 제조(순살고등어),2025-05-27
63,벤다선광공업(주),인천광역시 중구 서해대로 163 (항동7가) 외 4필지,그 외 자동차용 신품 부품 제조업,플라이휠 링기어,2025-05-27
64,브이씨센타,인천광역시 중구 연안부두로107번길 23 (항동7가),선박 구성 부분품 제조업,선박구성부품,2025-05-27
65,샤다이바이오,인천광역시 중구 늘목로39번길 1(을왕동),단미 사료 및 기타 사료 제조업,"단미사료(양축용 : 슈퍼비, 그린비)",2025-05-27
66,샤프도앤코코리아 유한회사,"인천광역시 중구 공항동로465번길 84(운서동, 샤프도앤코코리아(유)기내식시설)",도시락류 제조업 외 1 종,즉석도시락,2025-05-27
67,선두수산,인천광역시 중구 서해대로180번길 49 (신흥동3가),수산동물 냉동품 제조업,냉동수산물,2025-05-27
68,성광디자인(주),인천광역시 중구 도원서길 53 (유동),기타 인쇄업 외 1 종,옵셋인쇄,2025-05-27
69,성광인쇄소,인천광역시 중구 샛골로 53 (도원동),경 인쇄업 외 2 종,인쇄물,2025-05-27
70,수협중앙회 급식사업본부,인천광역시 중구 축항대로 50 (항동7가),수산동물 냉동품 제조업 외 2 종,"냉동품,얼음",2025-05-27
71,신광인쇄사,인천광역시 중구 중앙동2가 19번지,기타 인쇄업 외 1 종,인쇄물,2025-05-27
72,신한철강공업(주),"인천광역시 중구 축항대로296번길 156 (신흥동3가, 신한철광공업㈜)",강관 제조업 외 1 종,"선박부분품, 강관",2025-05-27
73,쌍용레미콘(주)인천사업소,"인천광역시 중구 서해대로93번길 26 (항동7가, 쌍용양회공업㈜)",레미콘 제조업,레미콘,2025-05-27
74,씨제이제일제당(주)인천1공장,"인천광역시 중구 아암대로 20 (신흥동3가, CJ제일제당)",설탕 제조업 외 3 종,설탕,2025-05-27
75,씨제이제일제당(주)인천2공장,"인천광역시 중구 서해대로140번길 49 (신흥동3가, CJ제일제당㈜)",식용 정제유 및 가공유 제조업 외 3 종,"식용유,참기름,사료",2025-05-27
76,씨제이제일제당(주)인천3공장,"인천광역시 중구 축항대로87번길 30 (항동7가, 삼양유지(주))",식용 정제유 및 가공유 제조업 외 1 종,식용유,2025-05-27
77,씨제이제일제당(주)인천냉동식품공장,"인천광역시 중구 서해대로 168 (신흥동3가, 씨제이제일제당㈜)",기타 수산동물 가공 및 저장 처리업 외 9 종,냉동식품,2025-05-27
78,씨제이피드앤케어(주)인천공장,인천광역시 중구 서해대로140번길 49 (신흥동3가),배합 사료 제조업,배합사료,2025-05-27
79,아바테크,인천광역시 중구 축항대로296번길 60-20 (신흥동3가),주형 및 금형 제조업 외 1 종,"프레스금형, 온수기",2025-05-27
80,엔프라니(주),"인천광역시 중구 서해대로140번길 49 (신흥동3가, CJ제일제당㈜)",화장품 제조업,화장품,2025-05-27
81,엘에스지스카이셰프코리아(주),"인천광역시 중구 공항동로465번길 108(운서동, 엘에스지스카이셰프)",도시락류 제조업 외 1 종,기내식,2025-05-27
82,여수스크류,인천광역시 중구 축항대로 71 (항동7가),선박 구성 부분품 제조업,"선박스크류, 샤프트",2025-05-27
83,우진특장,인천광역시 중구 축항대로290번길 114 (신흥동3가),차체 및 특장차 제조업,특장차 및 관련부품,2025-05-27
84,우창기계공업사,인천광역시 중구 연안부두로75번길 14 (항동7가),선박 구성 부분품 제조업,선박구성부분품 제조 및 선박수리,2025-05-27
85,원일종합설비,인천광역시 중구 연안부두로115번길 17-12 (항동7가),선박 구성 부분품 제조업,선박부분품,2025-05-27
86,웰토,인천광역시 중구 서해대로93번길 14-9 (항동7가),인형 및 장난감 제조업,아동용 공예점토(클레이),2025-05-27
87,윈윈수산식품 주식회사,인천광역시 중구 연안부두로107번길 16-2 (항동7가),기타 수산동물 가공 및 저장 처리업,노르웨이산 생연어 필렛가공품 및 소분팩,2025-05-27
88,으뜸아이에스 주식회사,"인천광역시 중구 서해대로483번길 39, 1층 (율목동)",방송장비 제조업,CCTV카메라,2025-05-27
89,은성엔지니어링,인천광역시 중구 축항대로291번길 36 (신흥동3가),내연기관 제조업 외 1 종,해상선박용엔진,2025-05-27
90,이디엔드에프만코리아(주),인천광역시 중구 축항대로87번길 25 (항동7가),배합 사료 제조업 외 1 종,액상사료,2025-05-27
91,이유푸드(주),"인천광역시 중구 축항대로290번길 155 (신흥동3가, 이유푸드인천공장)",육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종,"육가공품, 도시락",2025-05-27
92,인성,인천광역시 중구 축항대로296번길 56-31 (신흥동3가),그 외 기타 1차 철강 제조업,"선풍기프레임, 접의식선반, 전기차충전기받침대",2025-05-27
93,인천국제공항공사,인천광역시 중구 운서동 2626번지 외 1필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,"Ditch Box, 배수암거, 우수집수조, U형 측구",2025-05-27
94,인천국제공항공사(신공항레미콘(주)),인천광역시 중구 운서동 2863-2번지,레미콘 제조업,레미콘,2025-05-27
95,인천국제공항공사(신공항아스콘(주)),"인천광역시 중구 영종해안북로702번길 115-96 (운서동, 쌍용양회공업(주))",아스팔트 콘크리트 및 혼합제품 제조업,아스콘,2025-05-27
96,인천국제공항공사(쌍용레미콘(주)),"인천광역시 중구 영종해안북로702번길 115-95, 쌍용레미콘(주)영종도사업소(운서동)",레미콘 제조업,레미콘,2025-05-27
97,인천국제공항공사(영종아스콘(주)),"인천광역시 중구 영종해안북로 970, 외 5필지 (운서동)",아스팔트 콘크리트 및 혼합제품 제조업,아스콘,2025-05-27
98,인천듸젤,인천광역시 중구 연안부두로91번길 12 (항동7가),선박 구성 부분품 제조업,선박부품,2025-05-27
99,일해냉동,인천광역시 중구 항동7가 60번지,수산동물 냉동품 제조업 외 1 종,냉동품,2025-05-27
100,자연앤푸드,인천광역시 중구 연안부두로107번길 42 (항동7가),김치류 제조업,김치,2025-05-27
101,제일사료(주)인천공장,인천광역시 중구 서해대로209번길 69 (항동7가),배합 사료 제조업 외 1 종,사료,2025-05-27
102,제주어류양식수산업협동조합 인천수산물수출물류센터,"인천광역시 중구 축항대로296번길 35, 신흥동3가 36-35, 37-25(신흥동3가, 인천수산물수출물류센터)",기타 수산동물 가공 및 저장 처리업,활광어가공,2025-05-27
103,주식회사 경화기업,인천광역시 중구 서해대로210번길 34 (신흥동3가),기타 곡물 가공품 제조업,볶음참깨,2025-05-27
104,주식회사 동아테크솔루션,인천광역시 중구 제물량로 37 (신흥동3가),기타 음향기기 제조업 외 1 종,"스피커, 돔카메라, 스피커, 돔카메라",2025-05-27
105,주식회사 디디엠,인천광역시 중구 서해대로180번길 33 (신흥동3가),자동차 재제조 부품 제조업,캘리퍼,2025-05-27
106,주식회사 디오씨,인천광역시 중구 우현로72번길 6 (용동),배전반 및 전기 자동제어반 제조업 외 3 종,"LED조명기구, 자동점멸기, 태양광가로등",2025-05-27
107,주식회사 마린파워,"인천광역시 중구 축항대로291번길 36, 가동 1층 (신흥동3가)",내연기관 제조업 외 1 종,"과급기, 하네스",2025-05-27
108,주식회사 비티모터스,인천광역시 중구 서해대로180번길 9(신흥동3가),차체 및 특장차 제조업,특장차제조,2025-05-27
109,주식회사 신영수산,인천광역시 중구 연안부두로75번길 4 (항동7가) 3층 1호,기타 수산동물 가공 및 저장 처리업,수산물 가공품,2025-05-27
110,주식회사 엘림기전,"인천광역시 중구 운중로 140-26 (중산동, 1동)",전동기 및 발전기 제조업 외 1 종,"발전기, 엔진양수기, 수중펌프",2025-05-27
111,주식회사 와이비씨푸드,인천광역시 중구 연안부두로75번길 4 (항동7가) 3층 2호 외 1필지,기타 수산동물 가공 및 저장 처리업,수산물 가공품,2025-05-27
112,주식회사 우신에프에스,인천광역시 중구 항동7가 58-170번지 외 1필지,"수산동물 훈제, 조리 및 유사 조제식품 제조업","자숙전복, 자숙홍합, 자숙문어",2025-05-27
113,지에스칼텍스(주) 윤활유공장,인천광역시 중구 월미로 182 (북성동1가),윤활유 및 그리스 제조업,윤활유,2025-05-27
114,진성정보시스템(주),인천광역시 중구 운남로 64-23 (운남동),방송장비 제조업,보안용카메라,2025-05-27
115,진양수산,인천광역시 중구 연안부두로75번길 4 (항동7가) 3층3호,수산동물 냉동품 제조업,냉동수산물,2025-05-27
116,천호보링공업사,인천광역시 중구 서해대로 130 (신흥동3가),건설 및 채광용 기계장비 제조업,토목기계장비,2025-05-27
117,충북기공사,인천광역시 중구 서해대로 130 (신흥동3가),선박 구성 부분품 제조업,선박구성부분품,2025-05-27
118,태성조기,인천광역시 중구 연안부두로91번길 12 (항동7가),선박 구성 부분품 제조업,선박구성부분품,2025-05-27
119,토담식품,인천광역시 중구 연안부두로107번길 10-15 (항동7가),수산동물 건조 및 염장품 제조업,"어리굴젓, 연근, 밴댕이젓",2025-05-27
120,티에스사료(주),"인천광역시 중구 월미로 181 (북성동1가, 대한제당㈜)",배합 사료 제조업,사료,2025-05-27
121,평화자동차정비 주식회사,인천광역시 중구 서해대로140번길 8 (신흥동3가),건설 및 채광용 기계장비 제조업,토목건설기계,2025-05-27
122,풍성산기,인천광역시 중구 연안부두로107번길 20-13 (항동7가),선박 구성 부분품 제조업,선박구성부분품,2025-05-27
123,프로금속,인천광역시 중구 항동7가 65번지,선박 구성 부분품 제조업,선박부분품,2025-05-27
124,하늘금속,인천광역시 중구 서해대로210번길 36 (신흥동3가),간판 및 광고물 제조업,간판 및 광고물,2025-05-27
125,한국정공,인천광역시 중구 신흥동3가 42-35번지,기타 가공 공작기계 제조업,"지그정반, 근형플레이트, 프레스다이 등",2025-05-27
126,한성정공,인천광역시 중구 서해대로 167 (항동7가) 외 2필지,주형 및 금형 제조업,"금형, 드라이브 플레이트(자동차부품)",2025-05-27
127,현대공영(주),인천광역시 중구 서해대로 114 (신흥동3가),"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","방파제, 방파제벽돌, 방파제, 방파제벽돌",2025-05-27
128,화남기계,인천광역시 중구 축항대로296번길 56-46(신흥동3가),분사기 및 소화기 제조업,무인기관실용 자동소화장치,2025-05-27
129,화창종합디젤,인천광역시 중구 축항대로118번길 164 (항동7가),선박 구성 부분품 제조업,감속기 등 중고엔진 수리 등,2025-05-27
130,희창물산(주),"인천광역시 중구 축항대로86번길 138 (항동7가, 희창물산㈜)",수산동물 냉동품 제조업,냉동품,2025-05-27
