회사명,대표자명,담당자연락처,팩스번호,종업원수,업종명,생산품,공장대표주소(도로명),공장대표주소(지번),기준일자
(주)한국푸드시스템,김동수,033-250-4051,033-244-7171,22,육류 포장육 및 냉동육 가공업 (가금류 제외),"돼지고기포장육, 쇠고기포장육",강원특별자치도 춘천시 동면 만천로 68 (한국푸드시스템(주)),강원특별자치도 춘천시 동면 만천리 619-1번지 한국푸드시스템(주),2025-02-06
(주)한성정보시스템,한정희,033-250-4051,033-257-4137,13,기억장치 제조업 외 1 종,하드디스크 어레이,"강원특별자치도 춘천시 동면 도토골길 23, 202호",강원특별자치도 춘천시 동면 만천리 413-2번지 202호,2025-02-06
(주)한일디에프,정순화,033-250-4051,033-262-6542,3,주방용 및 음식점용 목재가구 제조업 외 3 종,"사물함, 캐비닛, 신발장, 장롱, 건축물패널 등",강원특별자치도 춘천시 신북읍 문정3길 29,강원특별자치도 춘천시 신북읍 유포리 945-1,2025-02-06
(주)현진,김준수,033-250-4225,033-253-2769,53,육류 도축업(가금류 제외) 외 1 종,가금도축,강원특별자치도 춘천시 동면 만천양지길 147,강원특별자치도 춘천시 동면 만천리 330-34번지,2025-02-06
(주)현진,김옥성,033-250-4051,033-253-2769,53,육류 도축업(가금류 제외) 외 1 종,"가금도축, 닭고기",강원특별자치도 춘천시 동면 만천양지길 147,강원특별자치도 춘천시 동면 만천리 330-34번지,2025-02-06
(주)황태종가식품,안영숙,033-250-4051,033-244-6355,5,"수산동물 훈제, 조리 및 유사 조제식품 제조업","황태양념구이, 해장국",강원특별자치도 춘천시 동내면 사암길 16,강원특별자치도 춘천시 동내면 학곡리 71-3번지,2025-02-06
(주)휴안,김용주,033-250-4051,,5,자전거 및 환자용 차량 제조업,자전거 안장,강원특별자치도 춘천시 동내면 순환대로 878-3,강원특별자치도 춘천시 동내면 거두리 497-14번지,2025-02-06
(합)동양아이텍,고광만,033-250-4225,033-257-8113,47,유선 통신장비 제조업 외 2 종,CCTV 외,강원특별자치도 춘천시 동면 장학리 502-2번지,강원특별자치도 춘천시 동면 장학리 502-2번지,2025-02-06
(합)영서공업사,정진수,033-250-3361,033-255-4400,20,건설 및 채광용 기계장비 제조업,건설기계 정비,강원특별자치도 춘천시 당간지주길6번길 5 (근화동),강원특별자치도 춘천시 근화동 786-1번지,2025-02-06
(합)우림건설,조동호,033-250-4051,033-252-4363,1,일반용 도료 및 관련제품 제조업,방수재(도료),강원특별자치도 춘천시 서부대성로 129-1 (운교동),강원특별자치도 춘천시 운교동 191-4,2025-02-06
KNU TRADING,장영덕,033-250-4051,,1,플라스틱 접착처리 제품 제조업 외 1 종,BLAKEEP(사생활보호액정필름),"강원특별자치도 춘천시 강원대학길 1, 공학대학 6호관 105 (효자동, 강원대학교)",강원특별자치도 춘천시 효자동 192-1번지 강원대학교 공학대학 6호관 105,2025-02-06
S.H 잣공장,이순희,033-250-4225,,5,기타 과실ㆍ채소 가공 및 저장 처리업,잣 가공품,강원특별자치도 춘천시 동산면 군자리 산 13번지,강원특별자치도 춘천시 동산면 군자리 산 13번지,2025-02-06
S.H잣공장,이순희,033-250-4225,,5,기타 과실ㆍ채소 가공 및 저장 처리업,잣가공픔,강원특별자치도 춘천시 동산면 군자리 산 13번지,강원특별자치도 춘천시 동산면 군자리 산 13번지,2025-02-06
가구마을SDP,권영기,033-250-4051,3030-133-8812,2,소파 및 기타 내장가구 제조업 외 1 종,"씽크대, 사무용가구, 소파",강원특별자치도 춘천시 솟발1길 4 (퇴계동),강원특별자치도 춘천시 퇴계동 489-3번지,2025-02-06
가람ENG,이상진,033-250-4225,033-242-5303,27,배전반 및 전기 자동제어반 제조업,자동제어 장치,강원특별자치도 춘천시 동면 가산로 58-27,강원특별자치도 춘천시 동면 지내리 169번지,2025-02-06
가람이엔지 주식회사,이상진,033-250-4051,033-242-5303,43,전동기 및 발전기 제조업 외 5 종,태양광발전장치,강원특별자치도 춘천시 동면 가산로 58-29,강원특별자치도 춘천시 동면 지내리 169-18,2025-02-06
강원도농업기술원농산물이용시험장,김경희,,033-243-1850,5,기타 과실ㆍ채소 가공 및 저장 처리업 외 5 종,농산물가공식품,강원특별자치도 춘천시 신북읍 신북로 386-2,강원특별자치도 춘천시 신북읍 산천리 727번지,2025-02-06
강원레미콘(주),윤보섭,033-250-4051,033-262-9998,21,레미콘 제조업,레미콘,강원특별자치도 춘천시 동산면 원무동길 51 (강원레미콘),강원특별자치도 춘천시 동산면 봉명리 1007번지,2025-02-06
강원아스콘(주),"한경섭, 윤보섭",033-250-4051,033-264-3117,7,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,강원특별자치도 춘천시 동산면 종자리로 515,강원특별자치도 춘천시 동산면 군자리 728-4,2025-02-06
강원에코테크 주식회사,백형희,033-250-4051,,0,일반용 전기 조명장치 제조업,주거용 LED 실내조명등,"강원특별자치도 춘천시 신북읍 용산길 127, 나동 2호",강원특별자치도 춘천시 신북읍 용산리 492 나동 2호,2025-02-06
강원제재소(주),유재근,033-250-3361,033-263-3713,9,일반 제재업,목재,강원특별자치도 춘천시 신동면 경춘로 1962,강원특별자치도 춘천시 신동면 팔미리 29번지,2025-02-06
강원출판사,김은한,033-250-3361,033-257-2321,9,기타 인쇄물 출판업,"인쇄, 출판","강원특별자치도 춘천시 서부대성로48번길 16 (요선동, 강원출판사)",강원특별자치도 춘천시 요선동 14-2번지,2025-02-06
건설금속,박응용,033-250-3361,050-2264-9964,7,"금속 문, 창, 셔터 및 관련제품 제조업",도어,강원특별자치도 춘천시 서면 율장길 193,강원특별자치도 춘천시 서면 안보리 371번지,2025-02-06
고향할머니 한과,권선자,033-250-4225,,2,과자류 및 코코아 제품 제조업,한과,강원특별자치도 춘천시 동내면 거두길 184-99,강원특별자치도 춘천시 동내면 거두리 329-14번지,2025-02-06
광덕식품,장효창,033-250-4051,,8,가금류 가공 및 저장 처리업,닭갈비,강원특별자치도 춘천시 동면 건일길 61,강원특별자치도 춘천시 동면 장학리 183번지,2025-02-06
그린파워,박승광,033-250-3361,033-246-7762,9,기타 전기 변환장치 제조업 외 4 종,"누전/배선차단기,의료기기 부품",강원특별자치도 춘천시 동면 도토골길 19,강원특별자치도 춘천시 동면 만천리 413-4번지,2025-02-06
난지아스콘(주),김재명,033-250-4225,033-263-6309,8,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,강원특별자치도 춘천시 동산면 종자리로 418,강원특별자치도 춘천시 동산면 군자리 719-1번지,2025-02-06
농업회사법인 (주)그린친환경,최준하,033-250-4225,033-263-0661,60,기타 과실ㆍ채소 가공 및 저장 처리업,전처리농산물,강원특별자치도 춘천시 동내면 학곡리 64번지 외 2필지,강원특별자치도 춘천시 동내면 학곡리 64번지 외 2필지,2025-02-06
농업회사법인 밭 주식회사,이미소,,033-252-9533,6,빵류 제조업,강원도 옥수수빵,"강원특별자치도 춘천시 후석로462번길 90, 1층(후평동)",강원특별자치도 춘천시 후평동 159-4 1층,2025-02-06
농업회사법인 주식회사 원앤원푸드,장정순,033-250-3431,033-264-8201,2,식물성 유지 제조업,"참기름, 들기름",강원특별자치도 춘천시 동내면 향군길 35,강원특별자치도 춘천시 동내면 신촌리 403-23,2025-02-06
농업회사법인(주)만천,장민재,033-250-4051,0504-091-7000,35,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"탕수육, 동그랑땡, 돈까스, 가라이게",,강원특별자치도 춘천시 동면 만천리 495-3 외 1필지,2025-02-06
농업회사법인(주)매일봄,최용기,033-250-4051,033-254-5699,2,떡류 제조업,"감자 옹심이, 감자떡",강원특별자치도 춘천시 신북읍 신북로 289,강원특별자치도 춘천시 신북읍 산천리 326-1,2025-02-06
농업회사법인강원양봉(주),서원달,033-250-4225,,10,차류 가공업,차류,강원특별자치도 춘천시 신동면 한치로 669,강원특별자치도 춘천시 신동면 혈동리 550-6번지,2025-02-06
농업회사법인주식회사베이크팜,김범주,033-250-4051,033-910-0143,2,빵류 제조업 외 1 종,"빵류, 쿠키류 ",강원특별자치도 춘천시 스무숲3길 41-1 (석사동),강원특별자치도 춘천시 석사동 966-11,2025-02-06
농업회사법인주식회사시루와떡메,최찬화,033-250-4051,,10,떡류 제조업,떡류,강원특별자치도 춘천시 후평동 293-3,강원특별자치도 춘천시 후평동 293-3,2025-02-06
늘푸른식품,최용기,033-250-3361,,7,차류 가공업 외 1 종,"뽕잎제품,만두피","강원특별자치도 춘천시 동광길 1 (후평동, 봄내골식당 엄마손만두 감자떡)",강원특별자치도 춘천시 후평동 745-27번지,2025-02-06
다그로(주),이기운,033-250-4051,033-243-2258,5,가금류 가공 및 저장 처리업,닭갈비,"강원특별자치도 춘천시 효자문길 26, 1층 (효자동)",강원특별자치도 춘천시 효자동 661-11번지 1층,2025-02-06
다몬전기조명(주),박승광,033-250-4051,,9,"전기회로 개폐, 보호장치 제조업 외 1 종",누전차단기,강원특별자치도 춘천시 동면 도토골길 19,강원특별자치도 춘천시 동면 만천리 413-4번지,2025-02-06
다미그린물탱크,장영각,033-250-4225,,3,금속 캔 및 기타 포장용기 제조업 외 1 종,"물탱크(SMC,FRP)",강원특별자치도 춘천시 동면 소당골길 80,강원특별자치도 춘천시 동면 만천리 388-8번지,2025-02-06
다인,김동희외 1,033-250-4225,,4,간판 및 광고물 제조업,간판,강원특별자치도 춘천시 동면 금베이길 76,강원특별자치도 춘천시 동면 만천리 127번지,2025-02-06
대관령식품,김영석,033-250-4051,033-261-8992,8,김치류 제조업 외 1 종,단무지,강원특별자치도 춘천시 남산면 방곡리 290-2번지 291번지,강원특별자치도 춘천시 남산면 방곡리 290-2번지 291번지,2025-02-06
대광기전,전옥자,033-250-4051,033-262-3852,4,전기경보 및 신호장치 제조업 외 1 종,"교통신호제어기, 경보제어기",강원특별자치도 춘천시 동내면 고은길 144,강원특별자치도 춘천시 동내면 고은리 313-5,2025-02-06
대양프리컴,인길환,033-250-4051,033-257-7730,4,기타 인쇄업 외 1 종,인쇄물,"강원특별자치도 춘천시 삭주로 160 (후평동, 카라24시 헬스하우스)",강원특별자치도 춘천시 후평동 720-10번지,2025-02-06
대영기획,이진호,033-250-4051,0504-098-8453,0,기타 인쇄업,인쇄물,강원특별자치도 춘천시 행촌로 60-1 (퇴계동),강원특별자치도 춘천시 퇴계동 900,2025-02-06
대일광업(주),김음분,033-250-3361,033-242-4612,3,코르크 및 조물제품 제조업 외 1 종,"옥매트, 의료보조기",강원특별자치도 춘천시 동면 금옥길 228,강원특별자치도 춘천시 동면 월곡리 241번지,2025-02-06
대일생활건강 주식회사,김현식,033-250-4051,033-242-4612,10,기타 비알코올 음료 제조업,음료(옥산가),"강원특별자치도 춘천시 동면 금옥길 136-9, 대일광업(주)음료공장",강원특별자치도 춘천시 동면 월곡리 525번지,2025-02-06
대진목재,배진형,033-250-4051,0303-3442-4118,6,일반 제재업 외 2 종,"가설재, 토류판",강원특별자치도 춘천시 동산면 원무동길 160,강원특별자치도 춘천시 동산면 봉명리 803-2번지,2025-02-06
더퍼니쳐,"공동대표(성수학, 이동진)",033-250-4051,050-5251-3000,2,주방용 및 음식점용 목재가구 제조업 외 1 종,목재가구,"강원특별자치도 춘천시 신동면 정족3길 20-42, A동",강원특별자치도 춘천시 신동면 정족리 145번지 A동,2025-02-06
덕원산업(주),김형민,033-250-4051,033-263-2010,13,레미콘 제조업 외 1 종,레미콘,강원특별자치도 춘천시 남산면 김유정로 491-34,강원특별자치도 춘천시 남산면 광판리 307번지,2025-02-06
동명산업,변길주,033-250-3361,,5,구조용 금속 판제품 및 공작물 제조업 외 1 종,금속구조물,"강원특별자치도 춘천시 김유정로 1798 (퇴계동, 동명공업사)",강원특별자치도 춘천시 퇴계동 483-4번지,2025-02-06
동방라이트,김혜정,033-250-4225,033-241-3700,3,기타 조명장치 제조업 외 2 종,LED조명,강원특별자치도 춘천시 춘천순환로 840 (동면) 1층,강원특별자치도 춘천시 동면 장학리 614-6 1층,2025-02-06
동산콘크리트(주),남효순,033-250-4051,033-263-7760,13,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종","벽돌, 블럭, 플륨관",강원특별자치도 춘천시 동산면 종자리로 515 (삼성레미콘),강원특별자치도 춘천시 동산면 군자리 728-4번지,2025-02-06
동서레미콘(주),"이충선,이충수",033-250-3361,,13,레미콘 제조업,레미콘,강원특별자치도 춘천시 신동면 김유정로 791,강원특별자치도 춘천시 신동면 혈동리 219-1번지,2025-02-06
동서아스콘(주),김복순,033-250-3088,,9,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,강원특별자치도 춘천시 신동면 김유정로 805,강원특별자치도 춘천시 신동면 혈동리 218-1번지,2025-02-06
동서진흥(주),김복순,033-250-4051,,19,레미콘 제조업,레미콘,강원특별자치도 춘천시 남산면 둔일길 49-5,강원특별자치도 춘천시 남산면 창촌리 285번지,2025-02-06
동진표지판,이옥자,033-250-4225,,3,간판 및 광고물 제조업 외 2 종,간판,강원특별자치도 춘천시 신북읍 율문길 89,강원특별자치도 춘천시 신북읍 율문리 285-2번지,2025-02-06
두산건기춘천판매(주),장영식,033-250-4225,033-256-3379,3,건설 및 채광용 기계장비 제조업,"적재함, 버킷",강원특별자치도 춘천시 동내면 거두길 150,강원특별자치도 춘천시 동내면 거두리 464-2번지,2025-02-06
딕스원(주),박성민,033-250-4225,033-264-4026,15,매트리스 및 침대 제조업,매트리스,강원특별자치도 춘천시 남산면 충효로 74,강원특별자치도 춘천시 남산면 광판리 821-3번지,2025-02-06
린나이춘천종합상사,김대식,033-250-4051,033-241-4248,7,주방용 및 음식점용 목재가구 제조업 외 1 종,주방가구 외,강원특별자치도 춘천시 동면 춘천순환로 358,강원특별자치도 춘천시 동면 만천리 528-1번지,2025-02-06
메이킹래빗,한미정,033-250-4225,,1,가정용 비전기식 조리 및 난방 기구 제조업,일회용종이찜기,"강원특별자치도 춘천시 강원대학길 1, 보듬관 1104호 (효자동, 강원대학교)",강원특별자치도 춘천시 효자동 192-1번지 강원대학교 보듬관 1104호,2025-02-06
모리정미소 주식회사 농업회사법인,진의균,033-250-4051,033-263-6300,5,곡물 도정업,"쌀, 찹쌀, 잡곡","강원특별자치도 춘천시 신동면 모오리길 31-6, (팔미리101, 101-7, 101-4)","강원특별자치도 춘천시 신동면 팔미리 101-2번지 (팔미리101, 101-7, 101-4)",2025-02-06
목향한글서예연구소,정광옥,033-250-4051,,1,모조 귀금속 및 모조 장신용품 제조업,공예품,"강원특별자치도 춘천시 지석로 63, 209호 (석사동, 현진에버빌2차)",강원특별자치도 춘천시 석사동 873번지 현진에버빌2차 209호,2025-02-06
뫼바우식품,이재란,033-250-3361,033-242-4390,3,"면류, 마카로니 및 유사식품 제조업 외 3 종","면류,조미식품,닭갈비",강원특별자치도 춘천시 동면 금옥길 44-5,강원특별자치도 춘천시 동면 지내리 73-1번지,2025-02-06
바우하우스,서정민,033-250-4051,033-241-1850,1,경 인쇄업,"현수막, 실사, 책제본","강원특별자치도 춘천시 운천길 25, 미유빌딩 2층(운교동)",강원특별자치도 춘천시 운교동 173-7 미유빌딩 2층,2025-02-06
바이오플랜트(주),정흥수,033-250-4225,033-257-3968,2,"질소화합물, 질소, 인산 및 칼리질 화학비료 제조업 외 3 종",비료,"강원특별자치도 춘천시 강원대학길 1, 친환경농업연구센터 1층 (효자동, 강원대학교)",강원특별자치도 춘천시 효자동 192-1번지 강원대학교 친환경농업연구센터 1층,2025-02-06
반석춘천옥,김기만,033-250-4225,033-257-6413,3,기타 석제품 제조업,옥가공품,강원특별자치도 춘천시 충열로 179 (우두동),강원특별자치도 춘천시 우두동 1018-1번지,2025-02-06
백년건강주식회사,이은숙,033-250-3431,,4,건강보조용 액화식품 제조업 외 1 종,"오골계 즙, 오골계 만두",강원특별자치도 춘천시 남산면 충효로 393,강원특별자치도 춘천시 남산면 행촌리 450,2025-02-06
범일유리,김영범,033-250-3088,,5,안전유리 제조업 외 1 종,"복층유리,차유리",강원특별자치도 춘천시 동면 공단로70번길 20-7 (범일유리),강원특별자치도 춘천시 동면 장학리 844-8번지,2025-02-06
봄봄도가,윤나경,033-250-3361,033-255-7103,3,탁주 및 약주 제조업,막걸리,강원특별자치도 춘천시 신동면 풍류1길 34,강원특별자치도 춘천시 신동면 증리 901번지,2025-02-06
비에이치엘(주),유재준,033-250-4225,033-253-2423,5,기체 펌프 및 압축기 제조업,공기압축기,강원특별자치도 춘천시 동내면 사래울1길 45,강원특별자치도 춘천시 동내면 사암리 511번지,2025-02-06
산천애아삭소리사과애플즙,지정민,033-250-4051,,1,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,사과즙,강원특별자치도 춘천시 신북읍 신북로 362,강원특별자치도 춘천시 신북읍 산천리 637-6,2025-02-06
삼성생약(주),한상노,033-250-3361,033-241-1905,1,"식초, 발효 및 화학 조미료 제조업",천마발효초,"강원특별자치도 춘천시 소양강로 32, 1동 304호 (후평동, 생물산업벤쳐타운)",강원특별자치도 춘천시 후평동 198-53번지 생물산업벤쳐타운 1동 304호,2025-02-06
삼성콘테이너,이길영,033-250-3361,033-244-4054,4,기타 구조용 금속제품 제조업,건물용콘테이너,강원특별자치도 춘천시 신샘밭로 188 (신동),강원특별자치도 춘천시 신동 1230번지,2025-02-06
삼일공업사,김익형,033-250-3088,,5,건설 및 채광용 기계장비 제조업,건설기계부속품,강원특별자치도 춘천시 자라우길 7-4 (칠전동),강원특별자치도 춘천시 칠전동 11번지,2025-02-06
삼진식품,노동호,,033-252-1088,5,떡류 제조업,가래떡,"강원특별자치도 춘천시 효자로14번길 13 (퇴계동, 삼진식품)",강원특별자치도 춘천시 퇴계동 705-2번지 삼진식품,2025-02-06
삼호건설(주),"김선종, 이규찬",033-250-4051,033-262-3911,9,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,강원특별자치도 춘천시 신동면 김유정로 701-13,강원특별자치도 춘천시 신동면 혈동리 65-1번지,2025-02-06
새한시스템,김창선,033-250-4225,033-252-4033,3,기타 목재가구 제조업 외 1 종,사무용 가구,강원특별자치도 춘천시 신북읍 신샘밭로 504-18,강원특별자치도 춘천시 신북읍 율문리 37-9번지,2025-02-06
서대프랜트(주),김요시,033-250-4225,033-262-8313,14,육상 금속 골조 구조재 제조업 외 1 종,연도,강원특별자치도 춘천시 동산면 원무동2길 2-12,강원특별자치도 춘천시 동산면 봉명리 923-4번지,2025-02-06
서울교구,김영관,033-250-3361,,4,그 외 기타 나무제품 제조업 외 2 종,"실험대, 기구보관장.",강원특별자치도 춘천시 신동면 풍류1길 24-4,강원특별자치도 춘천시 신동면 증리 911-3번지,2025-02-06
서정산업,이학서,033-250-3361,,4,"금속 문, 창, 셔터 및 관련제품 제조업","창호,유리,셔터,알루미늄",강원특별자치도 춘천시 동내면 학곡동2길 10-1,강원특별자치도 춘천시 동내면 학곡리 359-10번지,2025-02-06
서진식품,서진,033-250-4051,033-265-7955,2,가금류 가공 및 저장 처리업,양념육(닭갈비),,강원특별자치도 춘천시 동내면 거두리 976-1 1층,2025-02-06
세은바이오,유미희,033-250-4051,,2,그 외 기타 식료품 제조업,한방환(에너지한방 등),"강원특별자치도 춘천시 동부시장길 8, 1충, (76,81호)(운교동, 동부시장현대아파트)","강원특별자치도 춘천시 운교동 183 동부시장현대아파트 1충, (76,81호)",2025-02-06
소당식품,김용호,033-250-3361,033-263-4308,3,식물성 유지 제조업 외 1 종,떡.식용유지,강원특별자치도 춘천시 동내면 동내로 103-13,강원특별자치도 춘천시 동내면 신촌리 441-4번지,2025-02-06
소양,안호규,033-250-4051,,2,화장품 제조업,화장품,강원특별자치도 춘천시 남춘천길 32 (퇴계동),강원특별자치도 춘천시 퇴계동 646-5번지,2025-02-06
소양강도가,한상일,033-250-3361,033-243-6878,3,탁주 및 약주 제조업,탁주,강원특별자치도 춘천시 신북읍 율문길 65-5,강원특별자치도 춘천시 신북읍 율문리 553-13번지,2025-02-06
소올산업,김민경,033-250-4051,033-257-2333,2,"천막, 텐트 및 유사 제품 제조업 외 23 종","보호용 천막, 측량장비, 광학장비","강원특별자치도 춘천시 춘천로 58, B1 (효자동)",강원특별자치도 춘천시 효자동 590-5번지 B1,2025-02-06
솔밭농기구,박일라,033-250-3361,033-244-3444,7,비동력식 수공구 제조업,"삽,호미,낫,괭이",강원특별자치도 춘천시 신동로 122 (신동),강원특별자치도 춘천시 신동 406-3번지,2025-02-06
스마트이앤씨 주식회사,김용진,033-250-4051,033-251-6463,5,"전자기 측정, 시험 및 분석기구 제조업 외 1 종",토목센서,"강원특별자치도 춘천시 강원대학길 1, 보듬관 801호 (효자동)",강원특별자치도 춘천시 효자동 192-1 보듬관 801호,2025-02-06
스퀴즈,김대헌,033-250-4051,050-4396-1663,7,맥아 및 맥주 제조업,발효맥주,강원특별자치도 춘천시 공지로 353 (효자동),강원특별자치도 춘천시 효자동 685-10번지,2025-02-06
스타일블라인드,이종수,033-250-3361,033-264-3640,4,커튼 및 유사제품 제조업,"커텐,버티컬,롤스크린",강원특별자치도 춘천시 칠전동길 74 (칠전동),강원특별자치도 춘천시 칠전동 99-3번지,2025-02-06
승산,김빈오,033-250-4225,,5,주방용 및 음식점용 목재가구 제조업 외 1 종,주방가구,강원특별자치도 춘천시 동내면 학곡동2길 10,강원특별자치도 춘천시 동내면 학곡리 597번지,2025-02-06
신북농업협동조합,김재호,033-250-4051,033-243-9705,5,곡물 도정업,쌀,,강원특별자치도 춘천시 신북읍 산천리 1065-1 외 2필지,2025-02-06
신선원제분(주),유용희,033-250-4225,033-262-1919,3,곡물 제분업,"메밀가루, 전분",강원특별자치도 춘천시 신동면 한치로 895,강원특별자치도 춘천시 신동면 팔미리 348-8번지,2025-02-06
신영상사(주),이창화,,033-243-2669,4,기타 식품 첨가물 제조업,"된장,고추장",강원특별자치도 춘천시 사북면 신포리 338번지,강원특별자치도 춘천시 사북면 신포리 338번지,2025-02-06
신우레미콘(주),한경섭,033-250-3361,033-264-3117,7,레미콘 제조업,레미콘,강원특별자치도 춘천시 동산면 종자리로 515 (삼성레미콘),강원특별자치도 춘천시 동산면 군자리 728-4번지 삼성레미콘,2025-02-06
신원기업(주),전경수,,033-261-7399,17,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,콘크리트근가,강원특별자치도 춘천시 남산면 소주고개로 388,강원특별자치도 춘천시 남산면 창촌리 432-1번지,2025-02-06
쌍용레미콘(주)춘천사업소,박명수,033-250-4051,033-255-8804,16,레미콘 제조업,레미콘,"강원특별자치도 춘천시 영서로 2497 (근화동, 호반레미콘)",강원특별자치도 춘천시 근화동 524번지,2025-02-06
씨에이에스(CAS),변병오,033-250-4051,033-252-6115,1,방송장비 제조업,cctv카메라,강원특별자치도 춘천시 동광길 7-1 (후평동) 3층,강원특별자치도 춘천시 후평동 745-28 3층,2025-02-06
아이클라임 주식회사,강태인,033-250-4051,,4,기타 표시장치 제조업,"클라이밍 웹시스템, 계측기","강원특별자치도 춘천시 후석로66번길 43, 101호 (석사동)",강원특별자치도 춘천시 석사동 310-13번지 101호,2025-02-06
알파피엔디,조영애,033-250-3088,033-263-8555,4,간판 및 광고물 제조업 외 1 종,"LED,형광등,AL후레임,앵글파이프",강원특별자치도 춘천시 동내면 원창고개길 282-4,강원특별자치도 춘천시 동내면 학곡리 613-0번지,2025-02-06
앨리스바니,이희경,033-250-4051,,2,기타 목재가구 제조업,어린이가구,"강원특별자치도 춘천시 춘천로68번길 25 (효자동, 큰들유통)",강원특별자치도 춘천시 효자동 685-6번지 큰들유통,2025-02-06
양우바이오 주식회사,"각자대표(박종금, 김천안)",033-250-4051,033-262-6137,11,김치류 제조업 외 5 종,"김치,냉면",강원특별자치도 춘천시 동산면 원무동길 175,강원특별자치도 춘천시 동산면 봉명리 787번지,2025-02-06
양춘기업,안영자,033-250-4051,033-261-5719,5,건설 및 채광용 기계장비 제조업,건설기계부품,강원특별자치도 춘천시 동내면 향군길 58,강원특별자치도 춘천시 동내면 신촌리 346-10번지,2025-02-06
에니웰,황갑문,033-250-4051,,0,표면광택제 및 실내가향제 제조업,고양이모래,강원특별자치도 춘천시 동산면 영서로 844,강원특별자치도 춘천시 동산면 원창리 727-1,2025-02-06
에버랜취,유경옥,033-250-3361,,2,기타 식품 첨가물 제조업,가공소금(칼라소금),강원특별자치도 춘천시 우두상리4길 16 (우두동),강원특별자치도 춘천시 우두동 144-11번지,2025-02-06
에스엔에스(s&s),송영규,033-250-4051,,3,"치약, 비누 및 기타 세제 제조업",비누,"강원특별자치도 춘천시 춘천로223번길 4 (효자동, 석사식당)",강원특별자치도 춘천시 효자동 747-17번지 석사식당,2025-02-06
에스엠케이에너지(주),김문준,033-250-4225,042-867-5421,3,"증류기, 열교환기 및 가스발생기 제조업","열교환기, 가스발생기",강원특별자치도 춘천시 동면 소양강로 168,강원특별자치도 춘천시 동면 장학리 782번지,2025-02-06
에스엠케이에너지주식회사,김문준,033-250-4225,042-867-5421,3,"증류기, 열교환기 및 가스발생기 제조업","증류기, 열교환기 및 가스발생기 제조업",강원특별자치도 춘천시 소양강로 168 (동면),강원특별자치도 춘천시 동면 장학리 782-0,2025-02-06
엑셀원,윤창근,033-250-3361,033-262-2511,1,기타 운동 및 경기용구 제조업 외 1 종,서바이벌장비,"강원특별자치도 춘천시 강원대학길 1, 강원대 공과대학 BI센터 115호 (효자동)",강원특별자치도 춘천시 효자동 192-1번지 강원대 공과대학 BI센터 115호,2025-02-06
엔씨홀딩스,최연종,033-250-4225,033-262-6854,1,커피 가공업,커피원두,"강원특별자치도 춘천시 동내면 거두택지길14번길 31, 1층",강원특별자치도 춘천시 동내면 거두리 990-2번지 1층,2025-02-06
엔에스지,노현준,033-250-4051,,1,가방 및 기타 보호용 케이스 제조업,가방,강원특별자치도 춘천시 영서로2434번길 11 (근화동),강원특별자치도 춘천시 근화동 747-4번지,2025-02-06
엘림기업,안경희,033-250-4225,033-262-3856,4,주방용 및 음식점용 목재가구 제조업 외 1 종,"씽크대, 붙박이장, 신발장 외",강원특별자치도 춘천시 지내고탄로 82-12 (신동),강원특별자치도 춘천시 신동 647-1번지,2025-02-06
